Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
däck 265,10,,0.76,1.00,,,,"0.29,0.14,0.14,0.57,0.14,0.29,1.00,0.14,1.00,0.14,1.00,0.14"
däck 31x10 5x15,10,,0.53,1.00,,,,"1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.60,0.20"
däck 365 omdöme,10,,0.65,0.40,,,,"0.06,0.03,0.09,0.44,0.03,0.03,0.03,0.03,0.03,0.34,1.00,0.03"
däck 4.00 8 jula,10,,0.84,1.00,,,,"0.10,0.05,0.05,1.00,0.81,0.24,0.52,0.05,0.05,0.05,0.05,0.05"
däck 4.80 4.00 8,10,,0.76,1.00,,,,"0.25,1.00,0.75,0.25,0.50,0.25,0.25,0.75,0.25,0.25,0.50,0.25"
däck 400 60x15 5,10,,0.52,1.00,,,,"0.11,0.11,0.22,0.11,0.11,1.00,0.11,0.33,0.56,0.44,0.11,0.11"
däck 635,10,,0.61,1.00,,,,"1.00,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.50,0.50,0.25,1.00"
däck 91v,10,,0.51,0.76,,,,"0.33,0.33,1.00,1.00,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33"
däck akut,10,,0.96,0.36,,,,"0.33,1.00,0.33,0.33,0.33,0.33,1.00,0.33,0.67,0.33,0.33,0.33"
däck ale,10,,0.61,0.27,,,,"0.14,1.00,0.14,0.57,0.71,0.14,0.29,0.14,0.00,0.14,0.57,1.00"
däck amarok,10,,0.53,1.00,,,,"1.00,0.11,0.56,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.11,0.11"
däck angered,10,,0.51,0.27,,,,"0.40,0.20,0.40,0.20,0.40,0.40,0.20,0.20,0.20,0.20,1.00,0.20"
däck arlanda,10,,0.61,0.13,,,,"1.00,0.25,0.50,0.25,0.50,0.00,0.25,0.50,0.25,0.25,0.50,0.75"
däck arninge,10,,0.58,0.26,,,,"0.16,0.03,0.53,1.00,0.06,0.03,0.16,0.06,0.22,0.16,0.34,0.03"
däck aspholmen örebro,10,,0.59,0.21,,,,"1.00,0.14,0.29,0.14,0.14,0.00,0.14,0.29,0.14,0.14,0.29,0.14"
däck audi,10,,0.66,0.89,,,,"0.14,0.43,0.14,0.29,0.29,0.14,1.00,0.57,0.43,0.14,0.14,0.14"
däck audi a4,10,,0.52,1.00,,,,"0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,1.00,0.67"
däck audi a5,10,,0.56,1.00,,,,"0.11,0.11,0.11,0.11,0.44,0.11,0.56,0.22,0.11,1.00,0.11,0.33"
däck avesta,10,,0.51,0.32,,,,"0.05,0.03,0.03,0.67,0.03,0.08,0.03,0.10,0.03,1.00,0.03,0.05"
däck backaplan,10,,0.58,0.31,,,,"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25"
däck bandhagen,10,,0.51,0.24,,,,"0.22,0.11,0.22,0.11,0.22,0.11,0.11,0.11,1.00,0.11,0.11,1.00"
däck benämning,10,,0.53,0.67,,,,"0.20,0.20,0.60,0.20,0.20,0.20,0.20,0.20,0.40,0.40,0.40,1.00"
däck billdal,10,,0.57,0.13,,,,"0.12,0.08,0.12,1.00,0.04,0.08,0.04,0.04,0.08,0.04,1.00,0.04"
däck billigt online,10,,0.63,0.62,,,,"0.40,0.20,1.00,0.20,0.40,0.20,0.20,0.20,0.60,0.20,0.60,0.80"
däck billigt på nätet,10,,0.54,1.00,,,,"0.67,0.33,0.33,0.33,0.33,0.67,0.33,0.33,1.00,0.33,0.33,0.33"
däck birsta,10,,0.87,0.12,,,,"0.29,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.71,0.14,0.14"
däck bmw,10,,0.52,1.00,,,,"1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67"
däck bmw 520d,10,,0.54,0.89,,,,"0.50,0.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50"
däck bokstäver,10,,0.82,0.91,,,,"0.03,0.44,1.00,0.54,0.13,0.10,0.03,0.03,0.03,0.10,0.03,0.03"
däck brodalen partille,10,,0.69,0.21,,,,"0.29,0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14,1.00,0.14,0.29"
däck butik,10,,0.63,0.94,,,,"0.11,0.22,0.11,0.11,0.22,1.00,0.11,0.33,0.11,0.22,0.22,0.11"
däck båstad,10,,0.50,0.19,,,,"0.11,0.11,0.11,1.00,0.11,0.56,0.22,0.22,0.11,0.11,0.11,0.11"
däck citroen c3,10,,0.53,1.00,,,,"0.29,0.14,0.29,0.29,0.29,0.43,1.00,0.14,0.14,0.29,0.71,0.14"
däck city malmö,10,,0.52,0.18,,,,"0.03,0.03,0.53,0.03,0.03,0.13,0.03,0.03,0.03,0.03,1.00,0.16"
däck delar,10,,0.59,1.00,,,,"0.23,0.03,0.03,1.00,0.23,0.05,0.03,0.08,0.05,0.03,0.44,0.05"
däck delbetala klarna,10,,1.97,1.00,,,,"0.14,0.29,0.14,0.57,0.29,0.14,1.00,0.14,0.29,0.14,0.14,0.14"
däck diameter,10,,0.64,0.10,,,,"0.29,0.14,0.29,0.29,0.43,1.00,0.14,0.14,0.14,0.71,0.29,0.29"
däck diameter tabell,10,,0.74,0.19,,,,"0.14,1.00,0.14,0.14,0.14,0.71,0.14,0.14,0.57,0.14,0.14,0.14"
däck direkt,10,,0.69,0.69,,,,"1.00,0.78,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.22,0.11,0.11"
däck djup,10,,0.58,0.15,,,,"0.07,0.07,0.79,1.00,0.36,0.21,0.14,0.07,0.07,1.00,1.00,0.07"
däck djup vinterdäck,10,,0.60,0.22,,,,"0.29,0.29,0.14,0.14,0.14,0.14,0.43,1.00,0.43,0.14,0.14,0.57"
däck domsjö,10,,0.68,0.32,,,,"0.29,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.57"
däck dubbdäck,10,,0.53,1.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
däck enhagsvägen täby,10,,0.61,0.29,,,,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.44,0.11"
däck erbjudande,10,,0.59,1.00,,,,"0.25,0.50,1.00,1.00,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25"
däck eskilstuna torshälla,10,,0.50,0.59,,,,"0.04,0.19,1.00,0.04,0.19,0.04,0.04,0.12,0.04,0.04,0.04,0.27"
däck fiat ducato,10,,0.61,1.00,,,,"0.22,0.11,0.22,0.11,0.33,1.00,0.22,0.11,0.11,0.33,0.11,0.44"
däck filipstad,10,,0.51,0.08,,,,"0.25,0.50,0.25,0.50,0.75,0.25,0.25,0.25,0.50,1.00,0.75,0.25"
däck floda,10,,0.62,0.27,,,,"1.00,0.60,0.80,0.20,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.20"
däck ford,10,,0.66,0.89,,,,"0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.80,0.80,1.00"
däck ford focus,10,,0.57,1.00,,,,"0.33,1.00,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33"
däck ford ranger,10,,0.66,1.00,,,,"0.11,1.00,0.33,0.56,0.11,0.33,0.11,0.11,0.78,0.11,0.33,0.11"
däck fraktfritt,10,,0.56,1.00,,,,"0.11,0.78,0.11,0.11,0.33,0.11,0.33,0.56,0.44,0.44,1.00,0.33"
däck fri frakt,10,,0.69,1.00,,,,"0.06,0.06,0.24,1.00,0.06,0.18,0.06,0.12,0.12,0.06,0.41,0.06"
däck friktion,10,,0.56,0.91,,,,"0.11,0.44,0.11,0.78,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11"
däck frölunda,10,,0.63,0.27,,,,"0.07,0.01,0.10,0.01,0.01,0.07,0.01,0.01,0.03,0.01,1.00,0.01"
däck fulda,10,,0.79,1.00,,,,"0.33,1.00,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33"
däck fälg göteborg,10,,0.78,1.00,,,,"0.11,0.11,0.11,0.33,0.11,0.33,0.11,0.11,0.11,0.11,0.44,1.00"
däck gnesta,10,,0.50,0.32,,,,"0.18,0.06,1.00,0.06,0.41,0.06,0.06,0.06,0.06,0.12,0.12,0.06"
däck goodyear,10,,1.39,1.00,,,,"0.02,0.02,1.00,0.54,0.02,0.02,0.08,0.02,0.02,0.02,0.02,0.04"
däck grossister,10,,0.58,0.47,,,,"0.33,0.11,0.11,1.00,0.11,0.44,0.11,0.22,0.33,0.33,0.11,0.11"
däck gummi,10,,0.58,1.00,,,,"0.14,0.14,0.29,0.14,1.00,0.29,0.14,0.57,0.14,0.14,0.71,0.14"
däck gävle kryddstigen,10,,0.52,0.46,,,,"0.11,0.11,0.22,0.33,0.11,0.11,0.11,0.33,0.56,0.33,1.00,0.11"
däck gåsebäck,10,,0.82,0.38,,,,"0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33"
däck gåsebäck helsingborg,10,,1.05,0.23,,,,"0.22,0.11,0.11,0.11,0.11,0.11,0.22,1.00,0.56,0.11,0.33,0.11"
däck göteborg hisingen,10,,0.77,0.32,,,,"0.20,0.20,0.20,0.40,0.40,1.00,0.20,0.60,0.20,0.20,0.40,0.20"
däck hammarö,10,,1.60,0.09,,,,"0.01,0.01,1.00,0.13,0.01,0.01,0.02,0.02,0.01,0.01,0.19,0.01"
däck handen,10,,0.63,0.68,,,,"0.20,0.20,0.20,0.40,0.20,0.20,0.60,0.20,0.20,1.00,0.20,0.20"
däck helsingborg gåsebäck,10,,0.52,0.53,,,,"0.07,0.29,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.14,1.00,0.07"
däck helsingborg ättekulla,10,,0.58,0.17,,,,"0.11,0.11,0.11,0.78,0.11,0.22,1.00,0.11,0.11,0.11,0.22,0.11"
däck hjul,10,,0.86,0.88,,,,"0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.33,1.00,0.33"
däck hjullastare,10,,0.55,1.00,,,,"0.14,0.57,0.14,0.43,1.00,0.14,0.29,0.29,0.29,0.14,0.14,0.14"
däck holmsund,10,,1.52,0.33,,,,"0.33,0.67,0.67,1.00,0.33,0.33,1.00,0.33,1.00,0.33,0.33,0.33"
däck honda cr v,10,,0.67,1.00,,,,"0.71,0.71,0.43,0.14,0.14,1.00,0.29,0.14,0.29,0.29,0.43,0.14"
däck hyundai i10,10,,0.50,0.83,,,,"0.11,0.11,0.56,0.44,0.56,0.33,0.56,0.11,0.11,0.78,0.11,1.00"
däck hägersten,10,,0.94,0.32,,,,"0.14,0.14,0.14,0.43,1.00,0.14,0.43,0.14,0.71,0.14,0.14,0.43"
däck häggvik,10,,0.55,0.49,,,,"0.14,0.14,1.00,0.14,0.14,0.29,0.14,0.14,0.29,0.14,0.14,0.14"
däck hälla västerås,10,,0.59,0.41,,,,"0.33,0.11,0.22,1.00,0.11,0.22,0.11,0.11,0.11,0.11,0.11,0.11"
däck högsbo,10,,0.74,0.15,,,,"0.03,0.03,0.08,0.28,0.13,0.23,0.03,0.05,0.05,0.03,1.00,0.13"
däck i borlänge,10,,0.59,0.38,,,,"0.20,0.20,0.40,0.20,1.00,0.20,0.40,0.20,0.20,0.20,0.20,0.20"
däck i falun,10,,0.55,0.20,,,,"0.22,0.11,0.33,0.22,0.11,0.11,0.56,0.11,1.00,0.11,0.11,0.22"
däck i göteborg,10,,0.81,0.59,,,,"1.00,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33"
däck i helsingborg,10,,0.52,0.30,,,,"0.05,0.05,0.05,0.05,0.05,0.19,0.05,0.10,0.24,0.05,0.05,1.00"
däck i jönköping,10,,0.50,0.55,,,,"0.20,1.00,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20"
däck i kalmar,10,,0.53,0.63,,,,"0.14,0.71,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.43,0.14"
däck i karlstad,10,,0.63,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.71,0.14,0.14"
däck i kristianstad,10,,0.60,1.00,,,,"0.11,0.56,0.22,0.22,1.00,0.11,0.11,0.11,0.11,0.56,0.11,0.33"
däck i kungsbacka,10,,0.52,0.40,,,,"0.09,0.03,0.03,1.00,0.06,0.03,0.03,0.03,0.28,0.03,0.16,0.03"
däck i linköping,10,,0.50,0.19,,,,"0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.67"
däck i lund,10,,0.58,0.40,,,,"1.00,0.60,0.20,0.80,0.20,0.40,0.40,0.60,0.20,0.20,0.40,0.80"
däck i malmö,10,,0.51,0.41,,,,"0.03,0.03,0.06,1.00,0.03,0.03,0.03,0.03,0.13,0.03,0.34,0.03"
däck i mölndal,10,,0.60,0.40,,,,"0.56,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.11,0.22"
däck i norrköping,10,,0.66,0.66,,,,"0.14,1.00,0.43,0.14,0.57,0.71,0.14,0.14,0.14,0.14,0.29,0.14"
däck i partille,10,,0.67,0.43,,,,"0.20,0.80,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,1.00,0.20"
däck i stockholm,10,,0.69,0.67,,,,"0.14,0.14,0.14,0.14,0.29,1.00,0.43,0.14,0.14,0.14,0.14,0.14"
däck i sverige,10,,0.64,1.00,,,,"0.14,0.43,0.14,1.00,0.14,0.71,0.29,0.29,0.14,0.14,0.14,0.14"
däck i uddevalla,10,,0.60,0.55,,,,"1.00,0.11,0.56,0.11,0.11,0.11,0.78,0.11,0.11,0.11,0.11,0.11"
däck i uppsala,10,,0.63,0.60,,,,"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,1.00"
däck i väst göteborg,10,,0.61,0.18,,,,"0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.67,0.33,0.33,0.33"
däck i västra frölunda,10,,0.53,0.48,,,,"0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.20,0.40,0.80,0.40,0.20"
däck i örebro,10,,0.51,0.71,,,,"0.33,1.00,0.11,0.22,0.44,0.11,0.11,0.22,0.11,0.11,0.11,0.22"
däck infosite,10,,0.56,0.54,,,,"0.00,0.25,0.25,0.25,1.00,0.25,0.25,0.75,0.25,0.00,0.25,0.25"
däck janne,10,,1.73,0.17,,,,"0.09,0.09,0.18,0.09,0.45,0.09,0.09,0.09,0.36,1.00,0.09,0.82"
däck jordbro,10,,0.57,0.31,,,,"0.09,0.09,0.64,0.36,0.09,0.27,0.27,1.00,0.09,0.09,0.09,0.18"
däck jämförelse,10,,0.73,0.49,,,,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33"
däck järna,10,,0.67,0.20,,,,"0.11,0.11,0.11,0.11,0.11,1.00,0.44,0.11,0.11,0.11,0.11,0.11"
däck kapslar,10,,0.70,1.00,,,,"0.29,0.14,0.14,0.29,0.14,0.14,1.00,0.14,0.14,0.14,0.71,0.29"
däck kia,10,,0.73,0.96,,,,"0.20,0.20,0.80,0.20,0.20,0.20,0.80,0.40,0.20,1.00,0.20,0.20"
däck kia picanto,10,,0.53,0.98,,,,"0.25,0.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,1.00"
däck klarna,10,,1.68,0.94,,,,"0.04,0.15,0.04,1.00,0.04,0.04,0.19,0.04,0.04,0.04,0.04,0.04"
däck klistermärken,10,,0.52,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14"
däck koder,10,,0.56,0.40,,,,"0.20,0.20,1.00,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.20,0.40"
däck kostnad,10,,0.52,1.00,,,,"0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.67,0.33,1.00,1.00"
däck krita,10,,0.71,1.00,,,,"0.20,0.60,0.20,0.20,0.20,1.00,0.60,0.20,0.20,0.60,0.40,0.20"
däck kumla,10,,0.63,0.16,,,,"0.04,0.02,0.81,0.23,0.02,0.02,0.02,0.02,0.08,0.35,1.00,0.04"
däck kungsängen,10,,0.53,0.18,,,,"0.60,0.20,0.80,0.20,1.00,0.20,0.60,0.20,0.60,0.20,0.20,0.60"
däck köpes,10,,0.80,1.00,,,,"0.20,0.20,0.60,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20"
däck lastbil,10,,0.58,1.00,,,,"0.07,0.50,1.00,0.07,0.07,0.29,0.50,0.36,0.07,0.14,0.07,0.07"
däck lastbil regler,10,,2.25,0.16,,,,"0.29,0.14,0.14,1.00,0.43,0.14,0.14,0.29,0.14,0.29,0.14,0.43"
däck lastindex,10,,0.65,0.17,,,,"0.14,0.43,0.14,0.14,0.43,0.14,1.00,1.00,0.29,0.14,0.14,0.14"
däck lidköping råda,10,,0.59,0.31,,,,"0.14,0.14,0.57,0.71,0.14,0.14,0.14,0.14,1.00,0.29,0.29,0.14"
däck lilla edet,10,,0.58,0.14,,,,"0.03,0.06,0.03,1.00,0.22,0.03,0.09,0.03,0.03,0.03,0.53,0.03"
däck linköping tornby,10,,0.77,0.16,,,,"0.14,0.14,0.43,0.14,0.14,0.14,0.14,0.14,1.00,0.29,0.14,0.14"
däck lufttryck bil,10,,0.52,0.74,,,,"0.20,0.20,0.20,0.20,0.20,0.20,0.60,1.00,0.20,0.80,0.20,0.20"
däck lufttryck tabell,10,,0.64,0.43,,,,"0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.71,0.29"
däck lund gastelyckan,10,,0.57,0.24,,,,"0.06,0.65,0.06,0.06,0.06,0.18,0.06,0.06,0.06,0.06,1.00,0.12"
däck lycksele,10,,0.52,0.29,,,,"0.05,0.05,0.05,0.67,0.05,0.05,1.00,0.24,0.52,0.05,0.10,0.14"
däck m s betyder,10,,0.79,0.07,,,,"0.07,0.07,0.29,0.14,0.79,0.07,0.07,0.14,0.14,0.29,1.00,0.07"
däck malmö billigt,10,,0.66,1.00,,,,"0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.00,0.00,0.50,0.50,0.50"
däck mariefred,10,,0.59,0.18,,,,"0.07,0.07,0.36,0.07,0.07,0.07,0.07,0.14,0.07,0.07,1.00,0.07"
däck markaryd,10,,0.50,0.27,,,,"0.24,0.06,0.06,0.06,0.06,0.06,0.06,0.18,0.06,0.53,1.00,0.06"
däck material,10,,0.59,0.76,,,,"0.27,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.64,0.09,0.18"
däck med fälgskydd,10,,0.75,1.00,,,,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.40,0.40,0.60,1.00"
däck med montering,10,,0.85,1.00,,,,"1.00,0.20,1.00,1.00,0.60,0.80,0.40,0.20,0.20,0.20,0.20,0.20"
däck med trycksensor,10,,0.58,1.00,,,,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.80,1.00,0.40,0.20"
däck mercedes,10,,0.95,0.99,,,,"0.11,0.11,0.56,0.22,1.00,0.33,0.22,0.78,0.11,0.11,0.22,0.22"
däck mini cooper,10,,0.85,1.00,,,,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20"
däck montering och balansering,10,,0.57,0.24,,,,"0.00,0.29,0.14,1.00,0.43,0.43,0.14,0.14,0.14,0.14,0.43,0.29"
däck montering och balansering pris,10,,0.75,0.28,,,,"0.20,0.20,1.00,0.20,0.20,0.80,0.20,0.20,0.20,0.20,0.20,0.20"
däck mousse,10,,0.99,1.00,,,,"0.33,1.00,0.33,0.33,0.67,0.67,0.67,0.67,1.00,1.00,0.33,0.33"
däck ms,10,,0.57,1.00,,,,"0.09,0.09,0.27,0.18,0.45,0.09,0.09,0.09,0.18,1.00,1.00,0.82"
däck mönster,10,,0.56,0.18,,,,"0.20,0.60,0.20,0.20,0.40,1.00,0.20,0.20,0.20,0.20,0.20,0.20"
däck mönsterdjup lag,10,,0.52,0.13,,,,"0.29,0.14,0.14,1.00,0.29,0.57,0.14,0.14,1.00,0.14,0.29,0.14"
däck mönsterdjup mätare,10,,0.56,1.00,,,,"0.08,0.08,1.00,0.04,0.04,0.08,0.08,0.04,0.04,0.04,0.04,0.12"
däck mönsterdjup mätare biltema,10,,0.56,1.00,,,,"0.11,0.11,0.33,0.11,0.78,0.11,0.56,0.11,1.00,0.11,0.11,0.11"
däck mönsterdjup vinterdäck,10,,0.63,0.10,,,,"0.11,1.00,0.22,0.11,0.11,0.11,0.00,0.11,0.33,0.11,0.11,0.11"
däck navara,10,,0.57,1.00,,,,"0.20,0.40,0.20,1.00,0.20,0.20,0.40,0.20,0.20,0.60,0.20,0.20"
däck nissan micra,10,,0.53,1.00,,,,"0.11,0.11,0.11,0.33,0.22,0.56,0.11,1.00,0.22,0.11,0.11,0.11"
däck nissan navara,10,,0.52,1.00,,,,"0.20,0.80,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20"
däck nokian,10,,0.51,1.00,,,,"0.03,0.01,0.01,0.82,0.13,0.01,0.01,0.01,0.01,1.00,0.82,0.04"
däck norge,10,,0.60,0.50,,,,"0.40,0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.20,0.40,0.40,0.20"
däck norrköping finspångsvägen,10,,0.53,0.40,,,,"0.11,0.00,0.11,1.00,0.44,0.11,0.22,0.11,0.44,0.11,0.11,0.33"
däck norsborg,10,,0.52,0.10,,,,"0.33,0.33,1.00,0.33,0.67,0.00,0.33,0.33,0.33,0.67,0.33,0.33"
däck nybro,10,,0.50,0.31,,,,"0.07,0.64,0.79,1.00,0.07,0.14,0.07,0.50,0.14,0.07,0.21,0.07"
däck o fälg skövde,10,,0.53,0.77,,,,"0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.33"
däck o fälg sundsvall,10,,0.65,0.59,,,,"1.00,0.04,0.04,0.04,0.04,0.65,0.42,0.08,0.35,0.04,0.12,1.00"
däck o fälg trollhättan,10,,0.52,0.31,,,,"0.11,0.11,1.00,0.11,0.11,0.11,0.78,0.11,0.22,0.11,0.44,0.11"
däck och balanseringsmaskin,10,,0.58,1.00,,,,"1.00,0.14,0.29,0.14,0.29,0.14,0.14,0.43,0.57,0.14,1.00,0.14"
däck och bilservice,10,,0.85,0.30,,,,"0.11,0.11,0.56,0.11,1.00,0.11,0.11,0.78,0.11,0.56,0.11,0.44"
däck och bilvård,10,,0.59,0.09,,,,"0.14,1.00,0.14,0.14,0.14,0.14,0.57,0.14,0.71,0.14,0.14,0.14"
däck och bilvård strängnäs,10,,0.55,0.03,,,,"0.03,0.03,0.03,0.28,0.03,0.22,0.06,0.03,0.03,0.03,0.44,1.00"
däck och bromsbytaren helsingborg,10,,0.57,0.18,,,,"1.00,0.11,0.11,0.11,0.56,0.11,0.11,0.11,0.22,0.11,0.11,0.11"
däck och fälg dodge ram 1500,10,,0.64,1.00,,,,"0.25,1.00,0.25,0.50,0.50,0.25,0.50,0.25,0.25,0.25,0.25,0.25"
däck och fälg göteborg,10,,0.55,0.94,,,,"1.00,0.11,0.33,0.78,0.11,1.00,0.56,0.11,0.11,0.11,0.11,0.11"
däck och fälg komplett,10,,1.32,1.00,,,,"0.20,0.20,0.20,0.20,0.20,0.80,0.60,0.20,1.00,0.20,0.20,0.20"
däck och fälg stockholm,10,,0.78,1.00,,,,"0.29,0.14,0.14,0.29,0.57,0.14,1.00,0.29,0.43,0.14,0.14,0.14"
däck och fälg sundsvall,10,,0.53,0.23,,,,"0.03,0.05,0.36,0.36,0.03,0.03,0.03,0.03,0.03,1.00,0.03,0.13"
däck och fälg uppsala,10,,0.66,0.67,,,,"0.22,0.11,0.11,0.11,0.11,0.56,0.11,0.11,1.00,0.11,0.11,0.11"
däck och fälg volvo v60,10,,0.61,0.99,,,,"0.14,0.14,0.14,0.14,0.43,0.29,0.14,1.00,0.43,0.29,0.14,0.71"
däck och fälg volvo v70,10,,0.60,0.99,,,,"0.14,0.29,0.14,0.14,0.14,0.14,0.71,0.71,0.29,0.14,0.57,1.00"
däck och fälg volvo xc60,10,,0.54,1.00,,,,"0.14,0.00,0.00,0.00,0.00,0.00,1.00,0.14,0.00,0.14,0.14,0.43"
däck och hjul,10,,0.70,0.59,,,,"0.20,0.20,1.00,1.00,0.20,0.20,0.20,0.60,0.40,0.40,0.80,1.00"
däck omkrets,10,,0.81,0.03,,,,"0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.81,0.02"
däck on net,10,,1.02,0.62,,,,"0.80,0.20,0.20,0.20,0.20,0.40,0.40,0.20,0.20,0.20,1.00,0.60"
däck online eslöv,10,,0.60,0.47,,,,"0.54,0.02,0.02,0.02,0.02,0.02,1.00,0.29,0.02,0.02,0.02,0.02"
däck online helsingborg gåsebäck öppettider,10,,4.89,0.43,,,,"0.22,0.11,0.44,0.11,0.33,1.00,0.56,0.11,0.00,0.11,0.22,0.11"
däck online klarna,10,,1.39,0.94,,,,"0.03,0.03,0.03,1.00,0.03,0.22,0.03,0.03,0.22,0.03,0.03,0.03"
däck online kontakt,10,,0.80,0.45,,,,"0.22,0.11,0.11,0.11,0.22,0.11,0.22,1.00,0.11,0.11,0.11,0.11"
däck online kävlinge,10,,0.60,0.49,,,,"0.33,0.33,0.67,0.33,0.33,0.33,1.00,0.33,0.33,0.67,0.33,0.33"
däck online lund,10,,1.00,0.33,,,,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.14"
däck online malmö,10,,0.63,0.58,,,,"0.33,0.33,1.00,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33"
däck online mc,10,,0.61,0.98,,,,"0.45,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.18,0.18,0.09"
däck online montering,10,,0.57,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.14,0.14"
däck online motala,10,,0.59,0.40,,,,"0.05,0.02,0.24,0.19,0.03,0.08,0.02,0.03,0.03,0.03,1.00,0.03"
däck online mörarp,10,,0.56,0.31,,,,"0.20,0.20,0.40,0.20,0.80,0.20,0.20,0.20,1.00,0.20,0.20,0.20"
däck online rabattkod,10,,0.75,0.49,,,,"0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02"
däck online tyskland,10,,0.75,1.00,,,,"0.03,0.03,1.00,0.44,0.03,0.03,0.18,0.03,0.03,0.03,0.03,0.18"
däck opel,10,,0.59,1.00,,,,"0.67,0.67,0.33,0.33,0.33,0.33,0.33,1.00,0.67,0.33,0.33,0.67"
däck orsa,10,,1.24,0.25,,,,"0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50"
däck paket,10,,0.59,0.89,,,,"0.14,0.57,0.14,1.00,0.71,0.14,0.57,0.29,0.14,0.14,0.43,0.14"
däck passat,10,,0.60,1.00,,,,"0.14,0.14,0.71,0.14,0.29,1.00,0.14,0.14,0.29,0.14,0.43,0.14"
däck peugeot 307,10,,0.52,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.14,0.14,0.14,1.00,0.14"
däck peugeot 308,10,,0.52,1.00,,,,"0.43,0.29,0.14,0.14,0.29,0.29,0.14,0.14,0.29,0.43,0.43,1.00"
